ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
20.0,122.16,2594.1,99.2,2237.84,40.57,3178.15,58.11
27.91,122.47,3977.32,90.47,2266.8,40.61,3178.95,58.02
28.49,122.79,1936.51,93.64,2251.01,40.61,3168.88,57.85
43.83,123.11,2176.87,89.98,2253.63,40.61,3171.95,57.91
58.15,123.43,1419.5,91.02,2282.52,40.63,3185.12,57.09
45.59,123.75,4979.59,73.78,2274.66,40.63,3196.78,57.56
23.75,124.05,7052.15,94.41,2335.13,40.65,3236.37,58.32
38.5,124.36,6122.45,76.04,2316.72,40.67,3244.89,56.91
43.83,124.68,7020.41,79.64,2329.89,40.67,3242.58,56.41
32.31,124.99,4875.28,78.75,2329.89,40.71,3252.65,56.09
39.3,125.3,7333.33,81.93,2361.4,40.73,3279.07,56.27
27.72,125.61,1247.17,52.0,2534.88,40.82,3440.71,55.56
3.89,125.93,5360.54,70.52,2716.29,40.88,3554.76,58.61
20.35,126.24,6190.48,82.99,2697.88,40.92,3550.9,58.23
24.81,126.56,7573.7,80.83,2576.94,40.97,3424.81,56.88
27.05,126.87,1832.2,77.08,2516.54,42.11,3368.18,58.81
39.35,127.19,5782.31,76.4,2511.23,42.13,3357.36,60.01
47.4,127.5,6018.14,78.14,2529.64,42.13,3379.01,58.67
40.1,127.83,8018.14,73.17,2521.78,42.16,3365.12,58.23
45.64,128.14,4589.57,82.96,2524.4,42.16,3362.01,59.37
51.87,128.46,4780.05,78.78,2540.19,42.16,3378.29,61.16
17.03,128.78,4875.28,76.74,2561.22,42.17,3385.25,60.01
20.05,129.09,2140.59,81.99,2561.22,42.19,3386.01,61.04
44.73,129.41,997.73,81.93,2563.84,42.17,3380.64,60.28
43.04,129.72,2857.14,80.86,2561.22,42.17,3385.25,59.6
41.45,130.03,1950.11,82.51,2569.08,42.19,3384.5,57.64
21.52,130.34,2380.95,83.79,2553.29,42.17,3374.43,56.3
41.45,130.66,2331.07,80.43,2563.84,42.17,3372.88,59.4
20.73,130.97,2426.3,86.05,2563.84,42.16,3381.39,58.4
13.65,131.28,1759.64,84.92,2571.7,42.17,3398.47,59.02
47.55,131.59,5256.24,79.36,2540.19,42.19,3375.22,58.32
81.51,131.9,4235.83,83.45,2550.67,42.22,3385.29,58.87
43.02,132.22,7659.86,80.25,2524.4,42.22,3375.98,58.73
37.31,132.53,4090.7,84.98,2532.26,42.22,3385.29,59.05
53.86,132.84,6376.42,84.89,2534.88,42.24,3391.5,58.7
32.92,133.15,6494.33,84.4,2524.4,42.22,3399.26,59.6
34.97,133.47,4925.17,85.44,2534.88,42.24,3403.12,58.43
53.29,133.78,1215.42,93.64,2545.43,42.22,3386.84,58.35
54.34,134.09,4902.49,90.99,2542.81,42.24,3377.53,59.17
